"Region","State","MarshShore","n","BankHt","ErosionRate","erodedSedVolume","erodedSedCarbon","Decomp","SD"
"Atlantic","CT",897,3,"Shallow","Large",26910,726570,90212.0937392631,4206.53386370517
"Atlantic","DE",1565,4,"Shallow","Large",46950,1267650,190549.176435939,5215.32080873201
"Atlantic","DC",0,1,"Shallow","Large",0,0,0,0
"Atlantic","FL",3995,8,"Shallow","Large",119850,3235950,912520.561491192,9369.47660821509
"Atlantic","GA",5844,1,"Shallow","Large",175320,4733640,1088674.36811311,29006.1326681587
"Atlantic","ME",0,5,"Shallow","Large",0,0,0,0
"Atlantic","MD",8550,7,"Shallow","Large",256500,6925500,1141248.79036365,20554.1696819093
"Atlantic","MA",2042,4,"Shallow","Large",61260,1654020,198734.593136865,7820.87031943676
"Atlantic","NH",263,,"Shallow","Large",7890,213030,,
"Atlantic","NJ",5328,5,"Shallow","Large",159840,4315680,610670.715438745,17564.8994355321
"Atlantic","NY",2058,5,"Shallow","Large",61740,1666980,223899.656966415,7456.76160635115
"Atlantic","NC",7579,6,"Shallow","Large",227370,6138990,1166306.37505022,15962.4825774147
"Atlantic","PA",44,4,"Shallow","Large",1320,35640,5411.02494889319,153.633402942114
"Atlantic","RI",504,4,"Shallow","Large",15120,408240,52719.4352881107,2008.08568500802
"Atlantic","SC",7515,1,"Shallow","Large",225450,6087150,1285013.41848262,47248.1550246788
"Atlantic","VA",9535,6,"Shallow","Large",286050,7723350,1350013.80186035,22839.3095573298
"Gulf","AL",1169,4,"Shallow","Large",35070,946890,232614.462004703,3358.41774567271
"Gulf","FL",7913,13,"Shallow","Large",237390,6409530,1757703.20483062,12925.4815304976
"Gulf","LA",66459,14,"Shallow","Large",1993770,53831790,12733570.6685408,102883.692723152
"Gulf","MS",1973,2,"Shallow","Large",59190,1598130,394630.761825876,7039.78980285853
"Gulf","TX",4332,27,"Shallow","Large",129960,3508920,875138.848846179,4659.38330512024
"Pacific","CA",2135,16,"Shallow","Large",64050,1729350,235057.965327785,4259.44114486428
"Pacific","OR",1274,5,"Shallow","Large",38220,1031940,107733.273032688,6320.08979896901
"Pacific","WA",1388,10,"Shallow","Large",41640,1124280,109963.587663954,5416.18518798744
"Atlantic","CT",897,3,"Deep","Large",80730,2179710,216516.34076495,11836.3627000869
"Atlantic","DE",1565,4,"Deep","Large",140850,3802950,467378.801358198,15266.6758401668
"Atlantic","DC",0,1,"Deep","Large",0,0,0,0
"Atlantic","FL",3995,8,"Deep","Large",359550,9707850,2366148.11231661,30824.0041008374
"Atlantic","GA",5844,1,"Deep","Large",525960,14200920,2765168.95483322,101193.609292931
"Atlantic","ME",0,5,"Deep","Large",0,0,0,0
"Atlantic","MD",8550,7,"Deep","Large",769500,20776500,2829463.4088988,60273.7003390836
"Atlantic","MA",2042,4,"Deep","Large",183780,4962060,474954.970109693,22268.9410943277
"Atlantic","NH",263,,"Deep","Large",23670,639090,,
"Atlantic","NJ",5328,5,"Deep","Large",479520,12947040,1489856.8352111,49841.3424549501
"Atlantic","NY",2058,5,"Deep","Large",185220,5000940,542649.05319169,21054.6797335103
"Atlantic","NC",7579,6,"Deep","Large",682110,18416970,2915059.70110755,53235.6339490877
"Atlantic","PA",44,4,"Deep","Large",3960,106920,13312.3777235839,442.026521611818
"Atlantic","RI",504,4,"Deep","Large",45360,1224720,127152.952554532,5638.10867624288
"Atlantic","SC",7515,1,"Deep","Large",676350,18261450,3242300.36023337,157279.961260484
"Atlantic","VA",9535,6,"Deep","Large",858150,23170050,3363247.42070986,69777.0862684599
"Gulf","AL",1169,4,"Deep","Large",105210,2840670,596346.652176037,10887.3674656179
"Gulf","FL",7913,13,"Deep","Large",712170,19228590,4540881.88318153,42677.7971252122
"Gulf","LA",66459,14,"Deep","Large",5981310,161495370,32569116.1941085,328018.945471157
"Gulf","MS",1973,2,"Deep","Large",177570,4794390,1012124.09944291,23172.762449412
"Gulf","TX",4332,27,"Deep","Large",389880,10526760,2244910.75440221,15258.2047587948
"Pacific","CA",2135,16,"Deep","Large",192150,5188050,562361.806183034,14395.6633188914
"Pacific","OR",1274,5,"Deep","Large",114660,3095820,250683.644687716,18748.3508071531
"Pacific","WA",1388,10,"Deep","Large",124920,3372840,254148.093270023,15724.3347743485
"Atlantic","CT",897,3,"Shallow","Small",8970,242190,30070.6979130877,1402.17795456839
"Atlantic","DE",1565,4,"Shallow","Small",15650,422550,63516.3921453131,1738.44026957734
"Atlantic","DC",0,1,"Shallow","Small",0,0,0,0
"Atlantic","FL",3995,8,"Shallow","Small",39950,1078650,304173.520497064,3123.15886940503
"Atlantic","GA",5844,1,"Shallow","Small",58440,1577880,362891.456037705,9668.71088938623
"Atlantic","ME",0,5,"Shallow","Small",0,0,0,0
"Atlantic","MD",8550,7,"Shallow","Small",85500,2308500,380416.263454552,6851.38989396977
"Atlantic","MA",2042,4,"Shallow","Small",20420,551340,66244.8643789549,2606.95677314559
"Atlantic","NH",263,,"Shallow","Small",2630,71010,,
"Atlantic","NJ",5328,5,"Shallow","Small",53280,1438560,203556.905146248,5854.96647851071
"Atlantic","NY",2058,5,"Shallow","Small",20580,555660,74633.218988805,2485.58720211705
"Atlantic","NC",7579,6,"Shallow","Small",75790,2046330,388768.791683407,5320.82752580491
"Atlantic","PA",44,4,"Shallow","Small",440,11880,1803.6749829644,51.2111343140382
"Atlantic","RI",504,4,"Shallow","Small",5040,136080,17573.1450960369,669.361895002674
"Atlantic","SC",7515,1,"Shallow","Small",75150,2029050,428337.806160874,15749.3850082263
"Atlantic","VA",9535,6,"Shallow","Small",95350,2574450,450004.600620118,7613.10318577661
"Gulf","AL",1169,4,"Shallow","Small",11690,315630,77538.1540015676,1119.4725818909
"Gulf","FL",7913,13,"Shallow","Small",79130,2136510,585901.068276875,4308.49384349919
"Gulf","LA",66459,14,"Shallow","Small",664590,17943930,4244523.55618028,34294.5642410505
"Gulf","MS",1973,2,"Shallow","Small",19730,532710,131543.587275292,2346.59660095284
"Gulf","TX",4332,27,"Shallow","Small",43320,1169640,291712.949615393,1553.12776837341
"Pacific","CA",2135,16,"Shallow","Small",21350,576450,78352.6551092616,1419.81371495476
"Pacific","OR",1274,5,"Shallow","Small",12740,343980,35911.0910108959,2106.69659965634
"Pacific","WA",1388,10,"Shallow","Small",13880,374760,36654.5292213179,1805.39506266248
"Atlantic","CT",897,3,"Deep","Small",26910,726570,72172.1135883168,11836.3627000869
"Atlantic","DE",1565,4,"Deep","Small",46950,1267650,155792.933786066,15266.6758401668
"Atlantic","DC",0,1,"Deep","Small",0,0,0,0
"Atlantic","FL",3995,8,"Deep","Small",119850,3235950,788716.03743887,30824.0041008374
"Atlantic","GA",5844,1,"Deep","Small",175320,4733640,921722.984944407,101193.609292931
"Atlantic","ME",0,5,"Deep","Small",0,0,0,0
"Atlantic","MD",8550,7,"Deep","Small",256500,6925500,943154.469632934,60273.7003390836
"Atlantic","MA",2042,4,"Deep","Small",61260,1654020,158318.323369898,22268.9410943277
"Atlantic","NH",263,,"Deep","Small",7890,213030,,
"Atlantic","NJ",5328,5,"Deep","Small",159840,4315680,496618.945070367,49841.3424549501
"Atlantic","NY",2058,5,"Deep","Small",61740,1666980,180883.017730563,21054.6797335103
"Atlantic","NC",7579,6,"Deep","Small",227370,6138990,971686.567035852,53235.6339490877
"Atlantic","PA",44,4,"Deep","Small",1320,35640,4437.45924119464,442.026521611818
"Atlantic","RI",504,4,"Deep","Small",15120,408240,42384.3175181774,5638.10867624288
"Atlantic","SC",7515,1,"Deep","Small",225450,6087150,1080766.78674446,157279.961260484
"Atlantic","VA",9535,6,"Deep","Small",286050,7723350,1121082.47356995,69777.0862684599
"Gulf","AL",1169,4,"Deep","Small",35070,946890,198782.217392012,10887.3674656179
"Gulf","FL",7913,13,"Deep","Small",237390,6409530,1513627.29439384,42677.7971252122
"Gulf","LA",66459,14,"Deep","Small",1993770,53831790,10856372.0647028,328018.945471157
"Gulf","MS",1973,2,"Deep","Small",59190,1598130,337374.699814304,23172.762449412
"Gulf","TX",4332,27,"Deep","Small",129960,3508920,748303.584800737,15258.2047587948
"Pacific","CA",2135,16,"Deep","Small",64050,1729350,187453.935394345,14395.6633188914
"Pacific","OR",1274,5,"Deep","Small",38220,1031940,83561.2148959052,18748.3508071531
"Pacific","WA",1388,10,"Deep","Small",41640,1124280,84716.0310900077,15724.3347743485
"Atlantic",,55719,64,"Shallow","Large",1671570,45132390,8315974.01131539,69531.9012247357
"Gulf",,81846,60,"Shallow","Large",2455380,66295260,15993657.9460482,104089.719781321
"Pacific",,4797,31,"Shallow","Large",143910,3885570,452754.826024426,9349.94309737602
"Atlantic",,55719,64,"Deep","Large",5014710,135397170,20813209.2890132,226034.432490282
"Gulf",,81846,60,"Deep","Large",7366140,198885780,40963379.5833111,332123.693008795
"Pacific",,4797,31,"Deep","Large",431730,11656710,1067193.54414077,28389.9715476212
"Atlantic",,55719,64,"Shallow","Small",557190,15044130,2771991.33710513,23177.3004082452
"Gulf",,81846,60,"Shallow","Small",818460,22098420,5331219.31534941,34696.5732604405
"Pacific",,4797,31,"Shallow","Small",47970,1295190,150918.275341475,3116.64769912534
"Atlantic",,55719,64,"Deep","Small",1671570,45132390,6937736.42967106,226034.432490282
"Gulf",,81846,60,"Deep","Small",2455380,66295260,13654459.8611037,332123.693008795
"Pacific",,4797,31,"Deep","Small",143910,3885570,355731.181380258,28389.9715476212
"National",,142362,155,"Shallow","Large",4270860,115313220,24762386.783388,125525.999251169
"National",,142362,155,"Deep","Large",12812580,345939660,62843782.4164651,402745.208057748
"National",,142362,155,"Shallow","Small",1423620,38437740,8254128.92779601,41841.9997503898
"National",,142362,155,"Deep","Small",4270860,115313220,20947927.472155,402745.208057748
